0,1,2,3,4,5
“Golden Greek” Jim Londos,NA,NA,NA,NA,NA
A-Kid,"5'8""",NA,NA,"Madrid, Spain",NXT UK Heritage Cup Champion
Abdullah the Butcher,6’0”,360,Running elbow drop; Karate Thrust,The Sudan,2011 WWE Hall of Fame Inductee
Adam Bomb,6’6”,290,The Meltdown,Three Mile Island,NA
Adam Cole,"6'0""",200,Last Shot; Panama Sunrise,"Panama City, Fla.",NXT Champion; North American Champion; NXT Tag Team Champion; 2019 NXT Overall Competitor of the Year; 2019 NXT Male Competitor of the Year; 2018 Dusty Rhodes Tag Team Classic Winner
Adam Pearce,6'2,241,Piledriver,"Chicago, Ill.",5x NWA Champion; NWA Hall of Fame; WWE Performance Center Coach
Adam Rose,6’1”,218,Party Foul,"Musha Cay, Bahamas",NA
Aiden English,6’3”,215,Director's Cut,Chicago,NXT Tag Team Champion
AJ Lee,5’2”,NA,Black Widow; Shining Wizard,"Union City, N.J.",Divas Champion; Raw General Manager; 2012 Diva of the Year; 2014 Diva of the Year
AJ Styles,5’11”,218,Phenomenal Forearm; Styles Clash; Calf Crusher,"Gainesville, GA ",WWE Champion; United States Champion; Intercontinental Champion; Raw Tag Team Champion
Akam,6’3”,290,Last Chapter,NA,Raw Tag Team Champion; NXT Tag Team Champion; 2016 Dusty Rhodes Tag Team Classic winner
Akeem,6’9”,450,747 Splash,"Halsted Street, Chicago",United States Champion
Akira Tozawa,5’7”,156,Top-rope Senton; Snap German Suplex,"Kobe, Japan",WWE Cruiserweight Champion; 24/7 Champion
Aksana,5’6”,NA,NA,"Alytus, Lithuania",NA
Alba Fyre,5’8”,NA,KLR Bomb,"Glasgow, Scotland",NXT UK Women's Champion
Alberto Del Rio,6’5”,239,Cross Armbreaker; Backstabber,"San Luis Potosi, Mexico",WWE Champion; World Heavyweight Champion; United States Champion; 2011 Royal Rumble Match winner; 2011 Raw Money in the Bank winner
Aleah James,"5'1""",NA,NA,NA,NA
Aleister Black,NA,215,Black Mass; Dark Ritual,"Amsterdam, Holland",NXT Champion; 2017 NXT Male Competitor of the Year; 2017 NXT Breakout Star of the Year; 2019 Dusty Rhodes Tag Team Classic winner
Alex Riley,6’3”,236,NA,"Washington, D.C. ",NA
Alexa Bliss,5’1”,NA,Twisted Bliss,"Columbus, Ohio",Raw Women's Champion; SmackDown Women's Champion; WWE Women's Tag Team Champion; 2018 Women's Money in the Bank Ladder Match winner
Alexander Wolfe,6’1”,245,NA,"Dresden, Germany",NXT Tag Team Champion
Alicia Fox,5’9”,NA,Scissor Kick,"Ponte Vedra Beach, Fla. ",Divas Champion
Alicia Taylor,NA,NA,NA,"Saginaw, Mich.",NA
Aliyah,5’3”,NA,NA,Toronto,WWE Women's Tag Team Champion
Alundra Blayze,5’10”,NA,Bridging German Suplex,"Tampa, Fla.",2015 WWE Hall of Fame inductee; Women's Champion; WCW Cruiserweight Champion; 24/7 Champion
Amale,"5'4""",NA,NA,NA,NA
Amari Miller,NA,NA,NA,Kansas City,NA
Amir Jordan,5’11”,185,Swanton Bomb,"Dewsbury, England",NA
Andrade,5’9”,210,Hammerlock DDT,"Gomez Palacio, Durango, Mexico",United States Champion; NXT Champion
Andre Chase,NA,NA,NA,NA,NA
Andre the Giant,7’4”,520,Sitdown Splash; Double Underhook Suplex,"Grenoble, France",WWE Champion; World Tag Team Champion; undefeated for nearly 15 years in WWE; 1993 WWE Hall of Fame Inductee
Andy Shepherd,NA,NA,NA,"Leicester, England",NA
Angel,5’9”,205,NA,"Monterrey, Mexico",24/7 Champion; NXT Cruiserweight Champion
Angelo Dawkins,6’5”,260,NA,Cincinnati,SmackDown Tag Team Champion; Raw Tag Team Champion; NXT Tag Team Champion
Antonino Rocca,6’0”,NA,Argentine Backbreaker,Argentina,United States Tag Team Champion; International Heavyweight Champion; several regional NWA Championships; WWE announcer in the late 1970s; 1995 WWE Hall of Fame Inductee
Antonio Inoki,6’3”,224,Octopus Stretch; Enzuigiri,"Yokohama, Japan",Founder of New Japan Pro Wrestling; IWGP Heavyweight Champion; 2010 WWE Hall of Fame Inductee
Aoife Valkyrie,NA,NA,NA,"Dublin, Ireland",NA
Apollo Crews,6’1”,240,Spinning Sit-out Powerbomb,"Benue State, Nigeria","Intercontinental Champion, United States Champion"
Ari Sterling,"6'1""",185,NA,"Lexington, Ky.",NA
Ariya Daivari,5’10”,190,Hammerlock Lariat; Frog Splash,Minneapolis,NA
Armando Estrada,6’3”,234,NA,Havana,General Manager of ECW
Arnold Schwarzenegger,NA,NA,NA,"Thal, Styria, Austria; Los Angeles",2015 WWE Hall of Fame Inductee
Arnold Skaaland,6’0”,240,NA,"White Plains, N.Y.",United States Tag Team Champion; managed two of the longest-reigning WWE Champions in history; business partner in the Capitol Wrestling Corporation (predecessor to WWE); 1994 WWE Hall of Fame Inductee
Arturo Ruas,6’2”,220,NA,"Rio de Janeiro, Brazil",NA
Ashante Adonis,"5'10""",NA,NA,NA,NA
Asher Hale,"5'10""",180,NA,"Augusta, Ga.",NA
Ashton Smith,NA,206,NA,"Manchester, England",NXT UK Tag Team Champion
Asuka,5’3”,NA,Asuka Lock,"Osaka, Japan","Raw Women's Champion; SmackDown Women's Champion; WWE Women's Tag Team Champion; 2020 Women's Money in the Bank Ladder Match winner; First-ever Women's Royal Rumble Match winner; WWE Women's Tag Team Champion, Mixed Match Challenge Season 1 winner; NXT Women's Champion; 2016 NXT Female Competitor of the Year"
Austin Aries,5’9”,202,Last Chancery,Milwaukee,NA
Austin Theory,NA,220 ,A-Town Down,"Atlanta, Ga.",United States Champion; 2022 Men's Money in the Bank Ladder Match winner
Axiom,NA,NA,NA,NA,NA
B-Fab,NA,NA,NA,NA,NA
Bad Bunny,NA,NA,NA,NA,24/7 Champion
Bad News Brown,6’2”,271,Ghetto Blaster,"Harlem, N.Y.",NA
Bam Bam Bigelow,6’4”,390,Greetings from Asbury Park; Headbutt From Top Rope,"Asbury Park, N.J.",ECW Champion; ECW Television Champion; WCW World Tag Team Champion; WCW Hardcore Champion
Baron Mikel Scicluna,6’3”,256,Notorious for his use of foreign objects,Isle of Malta,World Tag Team Champion; United States Tag Team Champion; 1996 WWE Hall of Fame Inductee
Batista,6’6”,290,Batista Bomb,"Washington, D.C.",WWE Champion; World Heavyweight Champion; WWE Tag Team Champion; World Tag Team Champion; two-time Royal Rumble Match winner
Bayley,5’6”,NA,Bayley-to-Belly Suplex,"San Jose, Calif.",SmackDown Women's Champion; Raw Women's Champion; WWE Women's Tag Team Champion; NXT Women's Champion; 2019 Women's Money in the Bank Ladder Match winner; 2015 NXT Female Competitor of the Year
Bearcat Wright,6’6”,275,Claw,"Kingston, Jamaica",NA
Becky Lynch,5’6”,NA,Dis-arm-her; Man-handle Slam,"Dublin, Ireland",Raw Women's Champion; SmackDown Women's Champion; 2019 Women's Royal Rumble Match winner
Beth Phoenix,5’7”,NA,The Glam Slam,"Buffalo, N.Y.",Women's Champion; Divas Champion; 2017 WWE Hall of Fame Inductee
Bianca Belair,5’7”,NA,K.O.D.,"Knoxville, Tenn.",SmackDown Women's Champion. 2021 Royal Rumble Match winner
Big Boss Man,6’7”,330,Boss Man Slam,"Cobb County, Ga.","Hardcore Champion; World Tag Team Champion, WWE Hall of Famer"
Big Cass,7’0”,276,East River Crossing; Empire Elbow,"Queens, N.Y.",2015 NXT Tag Team of the Year
Big Daddy V,6’9”,487,Big Daddy V Drop,"Harlem, N.Y.",World Tag Team Champion; Hardcore Champion; King of the Ring (1995) 
Big E,5’11”,285,Big Ending; Midnight Hour,"Tampa, Fla.",Mr. Money in the Bank; Intercontinental Champion; Raw Tag Team Champion; SmackDown Tag Team Champion; WWE Tag Team Champion; NXT Champion
Big John Studd,6’10”,NA,Reverse Bear Hug; Backbreaker ,Los Angeles,1989 Royal Rumble Match winner; 2004 WWE Hall of Fame Inductee
Big Show,7’0”,383,Chokeslam; KO Punch; Colossal Clutch,"Tampa, Fla.","WWE Champion; World Heavyweight Champion; ECW World Champion; WCW Champion; World Tag Team Champion; WWE Hardcore Champion; United States Champion; WWE Tag Team Champion; Intercontinental Champion, 2015 Andre The Giant Memorial Battle Royal winner"
Bill DeMott,6’2”,280,No Laughing Matter,NA,United States Champion
Bill Watts,6’3”,297,Oklahoma Stampede,Oklahoma City,2009 WWE Hall of Fame Inductee
Billie Kay,5’8”,NA,Shades of Kay,Sydney,WWE Women's Tag Team Champion; 2016 NXT Breakout Star of the Year
Billy Graham,6’4”,275,Bear Hug,"Paradise Valley, Ariz.",WWE Champion; 2004 WWE Hall of Fame Inductee
Billy Gunn,6’3”,260,Famouser,"Orlando, Fla.",WWE Tag Team Champion; World Tag Team Champion; Intercontinental Champion; Hardcore Champion; 1999 King of the Ring; 2019 WWE Hall of Fame Inductee
Billy Kidman,5’10”,195,Shooting Star Press,"Allentown, Pa.",Cruiserweight Champion; WWE Tag Team Champion; WCW Tag Team Champion; WCW Cruiserweight Tag Team Champion
Blair Davenport,NA,NA,NA,NA,NA
Blue Meanie,6’1”,323,Meaniesault,Pepperland,NA
Bo Dallas,6’1”,234,Running Bo-Dog,"Brooksville, Fla.",NXT Champion; Raw Tag Team Champion; 24/7 Champion
Boa,6’4”,225,NA,"Beijing, China",NA
Bob Armstrong,5’11”,227,Georgia Jawbreaker ,"Marietta, Georgia",2011 WWE Hall of Fame Inductee
Bob Backlund,6’1”,234,Crossface Chicken Wing,"Princeton, Minn.",WWE Champion; World Tag Team Champion; 2013 WWE Hall of Fame Inductee
Bob Orton Jr.,6’1”,242,Superplex; Piledriver,"Kansas City, Kan.",2005 WWE Hall of Fame Inductee
Bob Uecker,6’1”,190,NA,Milwaukee,2010 WWE Hall of Fame Inductee
Bobby Fish,NA,197,High-Low,"Saratoga Springs, N.Y.",NXT Tag Team Champion; 2019 NXT Tag Team of The Year
Bobby Heenan,NA,NA,NA,"Beverly Hills, Calif.",2004 WWE Hall of Fame Inductee
Bobby Lashley,6’3”,273,Hurt Lock; Spear,"Colorado Springs, Colo.",WWE Champion; Intercontinental Champion; 3x United States Champion; ECW Champion
Bobo Brazil,6’6”,270,Coco Butt,"Benton Harbor, Mich.",United States Champion; 1994 WWE Hall of Fame Inductee
Bodhi Hayward,"6'3""",245,NA,NA,NA
Boogeyman,6’2”,260,Boogeyslam,The Bottomless Pit,NA
Booker T,6’3”,256,Axe Kick; Spinaroonie; The Book End,Houston,World Heavyweight Champion; WCW Champion; World Tag Team Champion; WCW World Tag Team Champion; WCW Tag Team Champion; Intercontinental Champion; United States Champion; WCW World Television Champion; Hardcore Champion; 2006 King of the Ring; SmackDown color commentator; Raw color commentator; SmackDown General Manager; 2013 WWE Hall of Fame Inductee
Boris Malenko,NA,NA,NA,NA,2018 WWE Hall of Fame Inductee
Brad Maddox,5’11”,207,NA,"Charlotte, N.C.",Raw General Manager
Braun Strowman,6’8”,385,Running Powerslam; Reverse Chokeslam,NA,Universal Champion; Intercontinental Champion; 2018 Men's Money in the Bank Ladder Match winner; Greatest Royal Rumble Champion; Raw Tag Team Champion; 2019 Andre The Giant Memorial Battle Royal winner
Bray Wyatt,6’3”,285,Mandible Claw; Sister Abigail,NA,Universal Champion; WWE Champion; SmackDown Tag Team Champion; Raw Tag Team Champion
Bret Hart,6’0”,235,The Sharpshooter; Hart Attack,"Calgary, Alberta",WWE Champion; Intercontinental Champion; World Tag Team Champion; King of the Ring; two-time Royal Rumble Match winner; United States Champion; WCW Tag Team Champion; WCW Champion; Raw General Manager; Two-time WWE Hall of Fame Inductee (Class of 2006 & 2019)
Brian Pillman,6’0”,227,Air Pillman,Cincinnati,NWA Tag Team Champion; WCW Tag Team Champion; WCW Light Heavyweight Champion
Brie Bella,5’6”,NA,Bella Buster,"San Diego, Calif.",Divas Champion; Total Divas star; 2013 Diva of the Year
British Bulldog,5’11”,260,Running powerslam,"Manchester, England",World Tag Team Champion; European Champion; Intercontinental Champion; Hardcore Champion; 2020 WWE Hall of Fame Inductee
Brock Lesnar,6’3”,286,F-5; Kimura Lock,Minneapolis,Universal Champion; WWE Champion; 2019 Men's Money in the Bank Ladder Match winner; 2002 King of the Ring; 2003 Royal Rumble Match winner; Broke The Undertaker's WrestleMania Streak
Brodus Clay,6’7”,375,NA,Planet Funk,NA
Bron Breakker,"6'0""",230,NA,"Woodstock, Ga.",NXT Champion
Bronson Reed,"6'0""",330,NA,"Black Forest, South Australia",NXT North American Champion
Brooks Jensen,"6'5""",243,NA,NA,NXT UK Tag Team Champion
Bruiser Brody,6’8”,280,Knee Drop,"Santa Fe, N.M.",2019 WWE Hall of Fame Legacy Inductee
Bruno Sammartino,5’10”,265,Bear Hug; Backbreaker,"Abruzzi, Italy; Pittsburgh",Longest-reigning WWE Champion; 2013 WWE Hall of Fame Inductee
Brutus Creed ,NA,NA,NA,NA,NA
"Brutus ""The Barber"" Beefcake",6’4”,272,Sleeper Hold,San Francisco,World Tag Team Champion; 2019 WWE Hall of Fame Inductee
Bubba Ray Dudley ,6’3”,280,3-D; Bubba Bomb; Bubba Cutter,Dudleyville,WWE Tag Team Champion; World Tag Team Champion; ECW Tag Team Champion; WCW Tag Team Champion; 2018 WWE Hall of Fame Inductee
Buddy Rogers,6’0”,235,Figure-Four Leglock,"Camden, N.J.",First-ever WWE Champion; NWA World Champion; United States Tag Team Champion; 1994 WWE Hall of Fame Inductee
Buddy Rose,6’1”,NA,Las Vegas Jackpot,Las Vegas,2019 WWE Hall of Fame Legacy Inductee
Bull Nakano,5’7”,NA,Guillotine Legdrop,"Kawaguchi, Japan",Women's Champion
Butch,5’10”,205,Bitter End,"Birmingham, England",WWE United Kingdom Champion; 2020 Dusty Rhodes Tag Team Classic winner; NXT Tag Team Champion
Butch Reed,6’2”,262,NA,"Kansas City, Mo.",NA
Byron Saxton,6’1”,212,NA,"Burke, Va.",NA
Camacho,6’2”,230,NA,"Juarez, Mexico",NA
Cameron,5’6”,NA,Girl; Bye!,"Northridge, Calif.",NA
Cameron Grimes,6’0”,220,Cave-In,"Burlington, N.C.",NA
Candice LeRae,5’2”,NA,Quebrada,"Riverside, Calif.",NXT Women's Tag Team Champion
Candice Michelle,5’7”,NA,Candywrapper,Milwaukee,Women's Champion; 24/7 Champion
Captain Lou Albano,5’10”,350,NA,"Carmel, N.Y.",United States Tag Team Champion; 1996 WWE Hall of Fame Inductee
Carlos Colon,5’10”,246,Figure-Four Leglock,"Santa Isabel, Puerto Rico",26-time WWC Universal Heavyweight Champion; WWC North American Heavyweight Champion; WWC Puerto Rico Heavyweight Champion; NWA Champion; 2014 WWE Hall of Fame Inductee
Carmella,5’5”,NA,Code of Silence,"Staten Island, N.Y.",SmackDown Women's Champion; 2017 Women's Money in the Bank Ladder Match winner; Mixed Match Challenge Season 2 winner; 2019 WrestleMania Women’s Battle Royal winner; 24/7 Champion
Carmelo Hayes,5'10,210,NA,NA,NXT North American Champion; 2021 NXT Breakout Tournament Winner
Cedric Alexander,5’10”,205,Lumbar Check,"Charlotte, N.C.","Raw Tag Team Champion, WWE Cruiserweight Champion; 24/7 Champion"
Cesaro,6’5”,232,Neutralizer; Cesaro Swing,"Lucerne, Switzerland",United States Champion; Raw Tag Team Champion; SmackDown Tag Team Champion; WWE Tag Team Champion; First-ever Andre the Giant Memorial Battle Royal winner
Chad Gable,5’8”,202,Chaos Theory,Minneapolis,Raw Tag Team Champion; SmackDown Tag Team Champion; NXT Tag Team Champion
"Channing ""Stacks"" Lorenzo",NA,NA,NA,NA,NA
Charlie Dempsey,NA,NA,NA,NA,NA
Charlotte Flair,5’10”,NA,Figure-Eight Leglock; Natural Selection,The Queen City,"SmackDown Women's Champion; Raw Women's Champion; WWE Women’s Champion; Divas Champion; 2020 Women's Royal Rumble Match winner; NXT Women's Champion, WWE Women's Tag Team Champion"
Charly Caruso ,NA,NA,NA,Indianapolis,NA
Chelsea Green,NA,NA,I'm-Prettier,"Victoria, British Columbia, Canada",NA
Cherry,NA,NA,NA,The Other Side of the Tracks,Runner-up in 2008 SmackDown Top Diva Competition
Chief Jay Strongbow,6’0”,247,Tomahawk Chop; Sleeper Hold; Indian Deathlock,"Pawhuska, Okla.",World Tag Team Champion; 1994 WWE Hall of Fame Inductee
Chris Jericho,"6'0""",227,Codebreaker; Walls of Jericho; Lionsault,"Winnipeg, Manitoba, Canada",First-ever Undisputed WWE Champion; record nine-time Intercontinental Champion; World Heavyweight Champion; European Champion; Unified Tag Team Champion; World Tag Team Champion; United States Champion; WCW Champion; WCW TV Champion; WCW Cruiserweight Champion; ECW TV Champion
Chris Masters,6’4”,265,The Master Lock,Los Angeles,Remained undefeated in Master Lock Challenges for more than two years
Christian,6’1”,212,Killswitch; Con-Chair-To; Spear; Frog Splash,Toronto,ECW Champion; Intercontinental Champion; World Tag Team Champion; Light Heavyweight Champion; Hardcore Champion; European Champion; World Heavyweight Champion 
Christy Hemme,5’5”,NA,Standing split-legged leg drop,Los Angeles,Winner of the 2004 Raw Diva Search
Chyna,5’10”,NA,Gorilla Press Slam; Powerbomb,NA,Intercontinental Champion; Women's Champion; first woman to qualify for the King of the Ring tournament; first woman to qualify for the Royal Rumble Match; 2019 WWE Hall of Fame Inductee
CM Punk,6’2”,218,G.T.S. (Go to Sleep); Anaconda Vise,Chicago,WWE Champion; World Heavyweight Champion; ECW Champion; World Tag Team Champion; Intercontinental Champion; two-time Money in the Bank Ladder Match winner
Cody Rhodes,6’2”,220,Cross Rhodes,"Atlanta, Georgia",Intercontinental Champion; World Tag Team Champion; WWE Tag Team Champion
Commander Azeez,NA,NA,NA,NA,NA
Cora Combs,NA,NA,NA,NA,NA
Cora Jade,"5'6""",NA,NA,NA,NXT Women's Tag Team Championship
Corey Graves,6’1”,208,NA,Pittsburgh,NXT Tag Team Champion
Crash Holly,5’10”,400,The Crash Course; Crash Landing,"Mobile, Ala.",Hardcore Champion; Light Heavyweight Champion; European Champion; World Tag Team Champion
Crush,6’6”,315,Kona Crush; Heart Punch,NA,World Tag Team Champion; WCW Tag Team Champion
Cruz Del Toro,"5'7""",190,NA,"Córdoba, Veracruz, Mexico",NA
Curt Hawkins,6’1”,223,NA,"Queens, N.Y.",Raw Tag Team Champion; WWE Tag Team Champion
Curtis Axel,6’3”,228,NA,"Champlin, Minn.",Intercontinental Champion; WWE Tag Team Champion; Raw Tag Team Champion
D-Generation X,NA,NA,NA,NA,2019 WWE Hall of Fame Inductees
D-Von Dudley ,6’2”,269,3-D; Wassssup?,Dudleyville,WWE Tag Team Champion; World Tag Team Champion; ECW Tag Team Champion; WCW Tag Team Champion; 2018 WWE Hall of Fame Inductee
Dakota Kai,5’6”,NA,Go to Kick,"Auckland, New Zealand","WWE Women's Tag Team Champion, NXT Women's Tag Team Champion; 2021 Dusty Rhodes Tag Team Classic Winner"
Damian Priest,6’5”,249,Reckoning,"New York, N.Y.","United States Champion, NXT North American Champion"
Damien Sandow,6’4”,247,Terminus,"Palo Alto, Calif.",WWE Tag Team Champion; Money in the Bank Ladder Match winner
Damon Kemp,NA,NA,NA,NA,NA
Dana Brooke,5’3”,NA,Swanton Bomb; Samoan Driver,Cleveland,24/7 Champion
Dani Luna,"5'4""",NA,NA,NA,NA
Daniel Bryan,5’10”,210,LeBell Lock; Running Knee; Heel Hook,"Aberdeen, Wash.",WWE Champion; World Heavyweight Champion; Intercontinental Champion; United States Champion; WWE Tag Team Champion; SmackDown Tag Team Champion; 2011 SmackDown Money in the Bank winner; SmackDown Live General Manager
Danny Burch,6’0”,190,The London Bridge,East London,NXT Tag Team Champion
Dante Chen,"6'0""",197,NA,Singapore,NA
Dara Singh,NA,NA,NA,NA,NA
Darren Young,6’1”,239,Gut Check; Crossface Chicken Wing,Miami,WWE Tag Team Champion
Dash Wilder,5’10”,223,Shatter Machine,"Kill Devil Hills, N.C.",SmackDown Tag Team Champion; Raw Tag Team Champion; 24/7 Champion; NXT Tag Team Champion; 2016 NXT Tag Team of the Year
Dave Mastiff,5’10”,322,Cannonball,"The Black Country, England",NA
David Hart Smith,6’5”,250,Running Powerslam,"Calgary, Alberta, Canada",Unified Tag Team Champion; WWE Tag Team Champion
David Otunga,"6'0""",229,NA,"Hollywood, Calif.",WWE Tag Team Champion
Dawn Marie,5’8”,NA,NA,"Woodbridge, N.J.",NA
Dean Ambrose,6’4”,225,Dirty Deeds,"Cincinnati, Ohio",WWE Champion; United States Champion; Intercontinental Champion; Raw Tag Team Champion; Money in the Bank Ladder Match winner
Dean Malenko,5’10”,212,Texas Cloverleaf,"Tampa, Fla.",Light Heavyweight Champion; WCW United States Heavyweight Champion; WCW Cruiserweight Champion; WCW World Tag Team Champion
Demolition,NA,578,Demolition Decapitation,Parts Unknown,World Tag Team Champions
Deonna Purrazzo ,5’3”,NA,Fujiwara Armbar,"Hackettstown, N.J.",NA
Dexter Lumis,6’2”,239,Silence,"Recluse, Wy.",NA
