0,1,2,3,4,5
Sable,5’7”,NA,Sable Bomb,"Jacksonville, Fla.",WWE Women's Champion
Sabu,6’0”,235,Arabian Facebuster,"Bombay, Mich.",ECW Champion; ECW Tag Team Champion; ECW Television Champion
"""Sailor"" Art Thomas",6’6”,265,NA,"Fitchburg, Wisc.",2016 WWE Hall of Fame Legacy Inductee
Sam Gradwell,6’1”,215,NA,"Blackpool, England",NA
Samantha Irvin,NA,NA,NA,NA,NA
Sami Zayn,6’1”,212,Helluva Kick,Montreal,Intercontinental Champion; NXT Champion
Samir Singh,5’9”,144,Top-rope elbow drop,"Burnaby, British Columbia, Canada",24/7 Champion
Samoa Joe,6’2”,282,Coquina Clutch; Uranage,"Huntington Beach, Calif.",United States Champion; NXT Champion; 2015 Dusty Rhodes Tag Team Classic winner
Sanga,"6'8""",300,NA,"Madhya, Pradesh, India ",NA
Santino Marella,6’0”,233,The Cobra,"Calabria, Italy",Intercontinental Champion; WWE Tag Team Champion; United States Champion
Santos Escobar,"6'1""",204,Phantom Driver; tope suicida,Mexico City,NXT Cruiserweight Champion
Sarah Logan,5’6”,NA,NA,"Louisville, Ky.",NA
Sarah Schreiber,NA,NA,NA,"Nutley, N.J.",NA
Sarray,NA,NA,NA,"Tokyo, Japan",NA
Sasha Banks,5’5”,NA,Bank Statement,Boston,SmackDown Women's Champion; Raw Women’s Champion; WWE Women's Champion; WWE Women's Tag Team Champion; NXT Women's Champion
Savio Vega,5’11”,260,Caribbean Kick,The South Bronx,NA
Saxon Huxley,6’3”,215,Shattered Illusions,"Hartlepoole, England",NA
Scarlett,NA,NA,NA,NA,NA
Scott Dawson,5’10”,223,Shatter Machine,"Kill Devil Hills, N.C.",SmackDown Tag Team Champion; Raw Tag Team Champion; 24/7 Champion; NXT Tag Team Champion; 2016 NXT Tag Team of the Year
Scott Stanford,NA,NA,NA,"Haverstraw, N.Y.","Five-time, Five-time, Five-time, Five-time, Five-time Emmy award-winning New York sportscaster"
Scott Steiner,6’1”,276,Steiner Recliner; Frankensteiner,Detroit,WCW Champion; WCW Tag Team Champion; WWE Tag Team Champion; WCW Television Champion; United States Champion
Sensational Sherri,5’7”,NA,Sleeper Hold,New Orleans,AWA Women's Champion; WWE Women's Champion; 2006 WWE Hall of Fame Inductee
"Seth ""Freakin"" Rollins",6’1”,217,Stomp,"Davenport, Iowa",Universal Champion; WWE Champion; United States Champion; Intercontinental Champion; WWE Tag Team Champion; Raw Tag Team Champion; NXT Champion; 2018 Royal Rumble Match winner; 2014 Men's Money in the Bank Ladder Match winner; 2015 Superstar of the Year Slammy Award winner
Sgt. Slaughter,NA,NA,Cobra Clutch,"Parris Island, S.C.",WWE Champion; United States Champion; 2004 WWE Hall of Fame Inductee
Sha Samuels,"6'1""",215,NA,London,NA
Shad,6’7”,295,NA,"Brooklyn, N.Y.",NA
Shane Douglas,6’0”,240,Pittsburgh Plunge,Pittsburgh,ECW Champion; ECW Television Champion; Intercontinental Champion; WCW United States Champion; WCW Tag Team Champion
Shane McMahon,6’2”,230,Coast-to-Coast,New York City,SmackDown Tag Team Champion; 2018 WWE World Cup winner; European Champion; Hardcore Champion; SmackDown LIVE Commissioner
Shanky,"7'0""",310,NA,India,NA
Shawn Michaels,6’1”,225,Sweet Chin Music,"San Antonio, Texas",WWE Champion; World Heavyweight Champion; Intercontinental Champion; European Champion; World Tag Team Champion; Royal Rumble Match winner (1995 & 1996); Two-time WWE Hall of Fame Inductee (Class of 2011 & 2019)
Shayna Baszler,5’7”,NA,Kirifuda Clutch,"Sioux Falls, S.D.",WWE Women's Tag Team Champion; NXT Women's Champion
Sheamus,6’3”,250,Brogue Kick; Cloverleaf; Irish Curse Backbreaker; White Noise ,"Dublin, Ireland",WWE Champion; World Heavyweight Champion; United States Champion; Raw Tag Team Champion; SmackDown Tag Team Champion; 2010 King of the Ring; 2012 Royal Rumble Match winner; 2015 Money in the Bank Contract winner
Shelton Benjamin,6’2”,248,Paydirt; T-Bone Suplex,"Orangeburg, S.C.","Raw Tag Team Champion, Intercontinental Champion; United States Champion; WWE Tag Team Champion; 24/7 Champion"
Shinsuke Nakamura ,6’2”,229,Kinshasa,"Kyoto, Japan",Intercontinental Champion; United States Champion; SmackDown Tag Team Champion; 2018 Men's Royal Rumble Match winner; NXT Champion; 2016 NXT Male Competitor of the Year; 2016 NXT Overall Competitor of the Year
Shotzi ,NA,NA,NA,"Oakland, Calif.",NXT Women's Tag Team Champion
Sid,6’9”,317,Powerbomb,"West Memphis, Ark.",WWE Champion; WCW World Champion; United States Champion
Sid Scala,NA,NA,NA,"London, England",NA
Simon Gotch,6’1”,220,Gentleman's Clutch; Whirling Dervish,"Arkham, Mass.",NXT Tag Team Champion
Sin Cara,5’7”,198,NA,Mexico City,NXT Tag Team Champion
Skinner,6’0”,215,The Gatorbreaker,The Everglades,NA
Slick,NA,NA,Using his cane as a weapon,"Fort Worth, Texas","First African-American manager in WWE history, known as the ""Doctor of Style,"" wrote and performed entrance theme ""Jive Soul Bro"" on ""Piledriver - The Wrestling Album 2,"" ordained Christian minister"
Snoop Dogg,6’4”,NA,NA,"Long Beach, Calif.",Raw special guest host; Master of Ceremonies for Lumberjill Match at WrestleMania 24; 2016 WWE Hall of Fame Inductee
Solo Sikoa,NA,NA,NA,NA,NA
Sonya Deville,5’7”,NA,NA,"Shamong, New Jersey",NA
Sputnik Monroe,NA,NA,NA,NA,NA
Stacy Keibler,5’11”,NA,Roundhouse kick,Baltimore,2005 Babe of the Year
Stan Hansen,6’4”,321,Lariat,"Borger, Texas",AWA World Heavyweight Champion; United States Champion; WCW Tag Team Champion; Mid-South North American Champion; multi-time champion in Japan; 2016 WWE Hall of Fame Inductee
Stan Stasiak,NA,NA,Bear Hug,NA,NA
Stephanie McMahon,NA,NA,NA,"Greenwich, Conn.",Women's Champion; Vincent J. McMahon Legacy of Excellence Award Winner; SmackDown General Manager; Raw Commissioner
Steve Blackman,6’2”,245,NA,"Annville, Penn.",Hardcore Champion
Steve Cutler,6’1”,227,NA,"Rutherford, N.J.",NA
Stevie Richards,6’2”,230,Stevie Kick,Philadelphia,Hardcore Champion; ECW Tag Team Champion
Stevie Turner,"5'5""",NA,NA,London,NA
Sting,6’2”,250,Scorpion Deathlock; Stinger Splash; Scorpion Death Drop,"Venice Beach, Calif.",WCW World Champion; United States Champion; WCW Tag Team Champion; WCW Television Champion; 2016 WWE Hall of Fame Inductee
"""Stone Cold"" Steve Austin",6’2”,252,Stone Cold Stunner; Lou Thesz,"Victoria, Texas","WWE Champion; Intercontinental Champion; World Tag Team Champion; 1996 King of the Ring; Royal Rumble Match winner (1997, 1998, 2001); WCW U.S. Champion; WCW Tag Team Champion; 2009 WWE Hall of Fame Inductee"
Stu Hart,5’11”,230,Sugar Hold,"Saskatoon, Saskatchewan, Canada",Founder and promoter of Stampede Wrestling; 2010 WWE Hall of Fame Inductee
Summer Rae,5’10”,NA,NA,"Raleigh, N.C.",NA
Sunil Singh ,5’10”,159,Bollywood Drop,"Coquitlam, British Columbia, Canada",24/7 Champion
Sunny,NA,NA,NA,NA,Managed three teams to the World Tag Team Championship; AOL's most downloaded woman of 1996; two-time Slammy Award winner; 2011 WWE Hall of Fame Inductee
T-BAR,6’7”,270,NA,NA,NA
T-Bone,6’0”,245,Gypsy’s Kiss,"Malvern, England",NA
Tajiri,5’9”,189,Roundhouse Buzzsaw Kick,Japan,WWE Tag Team Champion; Cruiserweight Champion; Light Heavyweight Champion; ECW Television Champion; ECW Tag Team Champion; United States Champion
Tamina,5'9'',NA,Splash,Pacific Islands,WWE Women's Tag Team Champion; 24/7 Champion
Tatanka,6’2”,285,Indian Death Drop,"Pembroke, N.C.",NA
Tatsumi Fujinami,6’0”,238,Dragon Suplex; Dragon Sleeper,"Oita, Japan",WWE Junior Heavyweight Champion; WWE International Champion; IWGP Heavyweight Champion; NWA World Champion; 2015 WWE Hall of Fame Inductee
Tatum Paxley,NA,NA,NA,NA,NA
Taynara Conti,5’5”,NA,NA,"Rio de Janeiro, Brazil",NA
Tazz,5’9”,240,Tazzmission,"Red Hook section of Brooklyn, N.Y.",ECW Champion; ECW Tag Team Champion; ECW Television Champion; World Tag Team Champion; Hardcore Champion
Ted DiBiase,6’3”,214,Dream Street,"Madison, Ms.",World Tag Team Champion; Million Dollar Champion
Tegan Nox,5’6”,NA,Shining Wizard,Welsh Valleys,NA
Teoman,"6'0""",180,NA,NA,NA
Terri Runnels,"5'0""",NA,NA,"Gainesville, Florida",Hardcore Champion
The Bella Twins,NA,NA,NA,"Scottsdale, Ariz.","Divas Champion (Nikki twice, Brie once); 2013 Diva of the Year (Nikki and Brie); 2015 Diva of the Year (Nikki); 2020 WWE Hall of Fame Inductees"
The Berzerker,6’8”,323,Big Boot,Parts Unknown,NA
The Blackjacks,NA,585,NA,Texas,World Tag Team Champions; 2006 WWE Hall of Fame Inductees
The Brian Kendrick,5’8”,157,Captain's Hook; Sliced Bread No. 2,"Venice, Calif.",WWE Cruiserweight Champion; WWE Tag Team Champion
The Brooklyn Brawler,6’0”,248,Sidewalk Smash,"Brooklyn, N.Y.",NA
The Bunny ,NA,NA,NA,NA,NA
The Bushwhackers,NA,NA,Double Gut Buster; Battering Ram,New Zealand,2015 WWE Hall of Fame Inductees
The Dudley Boyz,NA,565,3D ,Dudleyville,World Tag Team Champions; WWE Tag Team Champions; ECW World Tag Team Champions; WCW World Tag Team Champions; WWE Hardcore Champion (Bubba Ray); 2018 WWE Hall of Fame Inductees
The Fabulous Freebirds,NA,NA,NA,"Badstreet, U.S.A.",WCCW Six-Man Tag Team Champions; WCW Six-Man Tag Team Champions; WCW Tag Team Champions; WCW United States Tag Team Champions; United States Champion; 2016 WWE Hall of Fame Inductees
The Four Horsemen,NA,NA,NA,NA,Held every major NWA title in 1988; 2012 WWE Hall of Fame Inductees
The Funks,NA,NA,Spinning Toe Hold,"Amarillo, Texas",NWA World Heavyweight Champions; 2009 WWE Hall of Fame Inductees
The Godfather ,"6′6""",330,Pimp Drop,Las Vegas,"WWE Intercontinental Champion, World Tag Team Champion; 2016 WWE Hall of Fame Inductee"
The Grand Wizard,5’7”,NA,NA,"Fort Lauderdale, Fla.",1995 WWE Hall of Fame Inductee
The Great Khali,7’1”,347,Punjabi Plunge; Khali Vise Grip,"Punjab, India",World Heavyweight Champion; 2021 WWE Hall of Fame Inductee
The Great Muta,6’2”,230,Moonsault; Muta Lock; Shining Wizard,The Land of the Rising Sun,NWA World Champion; NWA Television Champion; WCW World Tag Team Champion
The Hart Foundation,NA,515,NA,NA,World Tag Team Champions; 2019 WWE Hall of Fame Inductees
The Honky Tonk Man,6’1”,243,"Shake, Rattle and Roll ","Memphis, Tenn.",Intercontinental Champion; 2019 WWE Hall of Fame Inductee
The Hurricane,6’0”,215,Category 5 Hurricane,Unknown,Cruiserweight Champion; Hardcore Champion; European Champion; World Tag Team Champion
The Iron Sheik,6’0”,258,Camel Clutch,"Tehran, Iran",WWE Champion; World Tag Team Champion; 2005 WWE Hall of Fame Inductee
The Million Dollar Man,6’1”,260,Million Dollar Dream,"Palm Beach, Fla",1988 King of the Ring; Million Dollar Champion; World Tag Team Champion; 24/7 Champion; 2010 WWE Hall of Fame Inductee
The Miz,6′2″,221,Skull-Crushing Finale; Figure-Four Leglock,"Hollywood, Calif.",WWE Champion; Intercontinental Champion; United States Champion; SmackDown Tag Team Champion; WWE Tag Team Champion; World Tag Team Champion; Unified Tag Team Champion; Money in the Bank Ladder Match winner; A two-time Grand Slam Champion and is the first Superstar to complete the Grand Slam cycle twice. Mixed Match Challenge Season 1 winner
The Moondogs,NA,NA,NA,Parts Unknown,World Tag Team Champions
The Nasty Boys,NA,546,Pit Stop; Trip to Nastyville,Nastyville,World Tag Team Champions; WCW Tag Team Champions; WCW Hardcore Champion (Knobbs)
The nWo,NA,NA,NA,NA,2020 WWE Hall of Fame Inductees
The Oddities,NA,1168,NA,NA,NA
The Public Enemy,NA,514,Drive-By,"Compton, Calif.",ECW Tag Team Champions; WCW Tag Team Champions
The Road Warriors,NA,NA,Doomsday Device,"Chicago, Ill.",World Tag Team Champions; AWA World Tag Team Champions; NWA National Tag Team Champions; NWA International Tag Team Champions; 2011 WWE Hall of Fame Inductee
The Rock 'n' Roll Express,NA,478,Double Dropkick,The Volunteer State of Tennessee,NWA World Tag Team Champions; SMW Tag Team Champions; 2017 WWE Hall of Fame Inductees
The Sandman,6’4”,240,White Russian Leg Sweep,Philadelphia,ECW Champion; ECW Tag Team Champion
The Sheik,5’11”,NA,Camel Clutch; noted for excessive use of foreign objects,The Syrian Desert,United States Champion; 2007 WWE Hall of Fame Inductee
The Valiant Brothers,NA,490,Jimmy: Boogie Woogie Elbow Drop,New York City,World Tag Team Champions; 1996 WWE Hall of Fame Inductee
The Von Erichs,NA,NA,Von Erich Claw,Dallas,2009 WWE Hall of Fame Inductees
The Warlord,6’5”,323,Full Nelson,Parts Unknown,NWA World Six-Man Tag Team Champion
The Wild Samoans,NA,645,Samoan Drop; Headbutt,The Isle of Samoa,World Tag Team Champions; 2007 WWE Hall of Fame Inductees
Thea Hail,NA,NA,NA,NA,NA
Theodore Long,5’7”,173,NA,Atlanta,General Manager of SmackDown and ECW; Senior Adviser to SmackDown GM Booker T; 2017 WWE Hall of Fame Inductee
Tiffany,5’6”,125,NA,NA,General Manager of ECW
Tiffany Stratton,NA,NA,NA,NA,NA
Tiger Mask,5’8”,198,Tiger Suplex,Japan,WWE Junior Heavyweight Champion 
Timothy Thatcher,"6'3""",225,Fujiwara Armbar,NA,NA
Tino Sabbatelli,6’3”,240,NA,"Boca Raton, Fla.",NA
Tito Santana,NA,NA,Flying Forearm,"Tocula, Mexico",Intercontinental Champion; World Tag Team Champion; 2004 WWE Hall of Fame Inductee
Titus O'Neil,6’6”,270,Clash of the Titus,"Live Oak, Fla.",WWE Tag Team Champion; first-ever 24/7 Champion
TJP,5’10”,167,Kneebar,Los Angeles,WWE Cruiserweight Champion; 2016 Cruiserweight Classic Champion
Todd Grisham,NA,NA,NA,"Bay Minette, Ala.",SmackDown play-by-play announcer; ECW play-by-play announcer. 
Tom Prichard,5’10”,230,NA,Houston,NA
Tommaso Ciampa,5’11”,201,Fairytale Ending; Willow's Bell; Project Ciampa,Milwaukee,2x NXT Champion; NXT Tag Team Champion
Tommy Dreamer,6’2”,265,Dreamer Driver; DDT,"Yonkers, N.Y.",ECW Champion; ECW Tag Team Champion; Hardcore Champion
Toni Storm,5’5”,NA,Storm Zero,"Gold Coast, Australia",NXT UK Women's Champion; 2018 Mae Young Classic Champion
Tony Atlas,6’2”,NA,Gorilla Press Slam,"Roanoke, Va.",World Tag Team Champion; former Mr. USA bodybuilding champion; 2006 WWE Hall of Fame Inductee
Tony Chimel,6’1”,NA,NA,"Cherry Hill, N.J.",Original SmackDown ring announcer
Tony D'Angelo,NA,NA,NA,Chicago,NA
Tony Nese,5’9”,196,Running Nese; 450 Splash,"Long Island, N.Y.",WWE Cruiserweight Champion
Top Dolla,6'5,330,NA,"Washington, D.C.",NA
Torrie Wilson,5’7”,NA,Springboard Elbow,"Boise, Idaho",2019 WWE Hall of Fame Inductee
Trent Seven,5’11”,216,Seven Stars Lariat,"Wolverhampton, England",NXT Tag Team Champion; NXT UK Tag Team Champion
Trey Baxter,NA,NA,NA,NA,NA
Trick Williams,"6'4""",205,NA,NA,NA
Triple H,6’4”,255,Pedigree,"Greenwich, Conn.",WWE Chief Operating Officer; WWE Champion; World Heavyweight Champion; Intercontinental Champion; Unified WWE Tag Team Champion; World Tag Team Champion; European Champion; 2002 and 2016 Royal Rumble Match winner; 1997 King of the Ring; 2019 WWE Hall of Fame Inductee
Trish Stratus,5’5”,NA,Stratusfaction; Chick Kick,Toronto,Women's Champion; Hardcore Champion; 2013 WWE Hall of Fame Inductee
Tucker,6’2”,320,Compactor,"Hubbard, Ore.",NA
Tugboat,6’3”,384,Big Splash,NA,World Tag Team Champion
Tye Dillinger,6’3”,223,Tye-Breaker,Niagara Falls,NA
Tyler Bate,5’7”,175,Tyler Driver '97,"Dudley, England",First-ever WWE United Kingdom Champion; NXT Tag Team Champion; NXT UK Heritage Cup Champion; NXT UK Tag Team Champion
Tyler Breeze,6’0”,204,Beauty Shot; Supermodel Kick,Seasonal residences,NXT Tag Team Champion
Tyler Reks,6’5”,246,Burning Hammer,NA,NA
Tyson Kidd,5’10”,204,Dungeon Lock; Sharpshooter,"Calgary, Alberta, Canada",Unified Tag Team Champion; WWE Tag Team Champion
Ultimate Warrior,6’2”,280,Gorilla Press Slam; splash,Parts Unknown,WWE Champion; Intercontinental Champion; 2014 WWE Hall of Fame Inductee
Ultimo Dragon,5’8”,185,Asai Moonsault; Asai DDT; Dragon Sleeper,"Nagoya, Japan",WCW Cruiserweight Champion; WCW Television Champion; J-Crown Champion
Umaga,6’4”,350,Samoan Spike,The Isle of Samoa,Intercontinental Champion
Undertaker,"6'10""",309,Chokeslam; Tombstone; Last Ride; Hell's Gate,Death Valley,WWE Champion; World Heavyweight Champion; World Tag Team Champion; WCW Tag Team Champion; Hardcore Champion; Tuwaiq Mountain Trophy winner
Vader,6’5”,450,Vaderbomb; Vadersault,The Rocky Mountains,WCW World Heavyweight Champion; WCW United States Champion
Val Venis,6’3”,244,Splash,Las Vegas,Intercontinental Champion; World Tag Team Champion; European Champion
Valentina Feroz,NA,NA,NA,NA,NA
Vampiro,6’2”,250,Nail in the Coffin,Mexico City,WCW World Tag Team Champion
Vanessa Borne,5’4”,NA,NA,"Scottsdale, Ariz.",NA
Veer,"6'4""",275,NA,"Uttar, Pradesh, India",NA
Verne Gagne,5’11”,215,Gagne Sleeper Hold; Dropkick,"Robbinsdale, Minn.",Owner and promoter of the American Wrestling Association; AWA Champion; AWA Tag Team Champion; 2006 WWE Hall of Fame Inductee
Vic Joseph,NA,NA,NA,"Cleveland, Ohio",NA
Vickie Guerrero,5'4'',NA,Splash,"El Paso, Texas",SmackDown General Manager; Raw General Manager; Miss WrestleMania; Official Consultant to SmackDown; Raw Managing Supervisor
Victoria,5’8”,NA,Widow's Peak,"San Bernardino, Calif.",Women's Champion
Viktor,6’2”,219,Fall of Man,The Wasteland,NXT Tag Team Champion
Vincent J. McMahon,NA,NA,NA,New York City,WWE founder; 1996 WWE Hall of Fame Inductee
Virgil,5’11”,250,Million Dollar Dream,Pittsburgh,Million Dollar Champion
Vladimir Kozlov,6’8”,302,The Iron Curtain; Headbutt,Moscow,WWE Tag Team Champion; 2005 USA Open Heavyweight Sambo Champion; United States Kickboxing Association International Heavyweight Grappling Champion; former member of Ukranian national football team
Von Wagner,"6'5""",255,NA,"Osseo, Minn.",NA
Wade Barrett,6’7”,246,Bull Hammer Elbow; Wasteland; Winds of Change,"Preston, England","NXT Season One winner; Intercontinental Champion, 2015 King of the Ring"
Wahoo McDaniel,NA,NA,NA,NA,2019 WWE Hall of Fame Legacy Inductee
Wendi Richter,5’8”,NA,Sitout DDT,Dallas,Women's Champion; 2010 WWE Hall of Fame Inductee
Wendy Choo,"5'2""",NA,NA,NA,NA
Wes Lee,NA,NA,Corkscrew senton bomb,"Dayton, Ohio",NXT Tag Team Champion; 2021 Dusty Rhodes Tag Team Classic Winner
Wesley Blake,6’1”,240,NA,San Antonio,NXT Tag Team Champion
Wild Boar,5’6”,204,NA,"Blaina, Wales",NA
William Perry,6’2”,375,NA,"Aiken, S.C. ",Super Bowl XX Champion; 2006 WWE Hall of Fame Inductee
William Regal,6’3”,243,Regal Stretch,"Blackpool, England","Intercontinental Champion; European Champion; Hardcore Champion; World Tag Team Champion; WCW Television Champion, WWE
Commissioner; Alliance Commissioner; Raw General Manager; 2008 WWE King of the Ring; NXT General Manager"
William Shatner,NA,NA,NA,NA,2020 WWE Hall of Fame Inductee
Wolfgang,6’1”,255,Caber Toss,"Glasgow, Scotland",NXT UK Tag Team Champion
X-Pac,6’1”,212,X-Factor; Bronco Buster,Minneapolis,WWE Tag Team Champion; WWE Light Heavyweight Champion; WWE European Champion; WCW Cruiserweight Champion; 2019 WWE Hall of Fame Inductee
Xavier Woods,5’11”,205,Honor Roll; Lost in the Woods; Midnight Hour,Atlanta,2021 King of the Ring Tournament winner; Raw Tag Team Champion; SmackDown Tag Team Champion; WWE Tag Team Champion
Xia Brookside,5’3”,NA,Brooksy Bomb,"Liverpool, England",NA
Xia Li,5’3”,NA,NA,"Chongqing, China",NA
Xyon Quinn,"6'2""",246,NA,"Brisbane, Queensland, Australia",NA
Yokozuna,6’4”,589,Banzai Drop,The Land of the Rising Sun,WWE Champion; World Tag Team Champion; 1993 Royal Rumble Match winner; 2012 WWE Hall of Fame Inductee
Yoshi Tatsu,6’1”,211,Roundhouse Kick,Tokyo,NA
Yulisa Leon,NA,NA,NA,NA,NA
Zack Ryder,6’2”,224,Rough Ryder; Broski Boot,"Long Island, N.Y.",Intercontinental Champion; United States Champion; WWE Tag Team Champion; Raw Tag Team Champion
Zeb Colter,6’0”,225,NA,"Nashville, Tenn.",NA
Zeus,6’5”,300,NA,Parts Unknown,NA
Zoey Stark,NA,NA,NA,NA,NXT Women's Tag Team Champion
